               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10143,            0.028535,                   0,            0.002439,             0.73171,            0.016372,           0.0044141,             0.10091,            0.022381,                   0,              0.0964,              0.0004,              0.0004
                   1,            0.097298,            0.028548,                   0,           0.0030623,              0.9187,            0.047727,            0.012805,            0.079565,            0.023715,                   0,            0.091896,          0.00089554,          0.00089554
                   2,            0.080081,            0.032133,                   0,             0.33568,             0.30081,             0.25692,            0.084435,            0.067877,            0.022839,                   0,            0.087386,           0.0013861,           0.0013861
                   3,            0.065746,            0.028955,                   0,             0.60948,             0.33333,             0.39435,             0.15059,            0.064637,            0.021117,                   0,            0.082872,           0.0018718,           0.0018718
                   4,            0.060554,            0.027409,                   0,             0.49435,             0.33333,             0.35125,             0.12561,            0.062951,            0.019223,                   0,            0.078352,           0.0023525,           0.0023525
                   5,            0.055528,            0.024225,                   0,             0.59484,             0.45528,             0.49462,             0.23656,            0.057717,            0.018601,                   0,            0.073828,           0.0028282,           0.0028282
                   6,            0.062366,             0.02231,                   0,             0.44488,             0.62602,             0.52811,             0.25279,            0.057706,            0.016217,                   0,            0.069299,            0.003299,            0.003299
                   7,             0.05371,            0.020844,                   0,             0.67615,             0.60976,             0.63806,             0.25803,            0.052867,            0.015569,                   0,            0.064765,           0.0037649,           0.0037649
                   8,            0.053051,            0.021841,                   0,             0.52669,             0.72358,              0.6432,             0.26414,            0.051982,            0.015884,                   0,            0.060226,           0.0042258,           0.0042258
                   9,            0.060881,            0.020579,                   0,             0.29625,             0.73171,             0.35347,             0.14246,            0.062705,            0.012565,                   0,            0.055682,           0.0046817,           0.0046817
                  10,            0.063799,             0.02079,                   0,             0.34453,             0.62602,             0.41922,             0.23117,            0.053253,            0.014566,                   0,            0.051133,           0.0051327,           0.0051327
                  11,            0.054768,             0.02333,                   0,              0.3222,             0.78862,              0.4456,             0.24914,            0.061595,            0.012563,                   0,            0.046579,           0.0055787,           0.0055787
                  12,            0.051588,            0.020512,                   0,             0.57904,             0.81639,              0.6782,             0.41114,            0.049286,            0.011353,                   0,             0.04202,           0.0060198,           0.0060198
                  13,            0.051068,            0.019729,                   0,             0.52234,             0.74797,               0.659,             0.30528,            0.059963,            0.011047,                   0,            0.037456,            0.006456,            0.006456
                  14,             0.05319,            0.019232,                   0,             0.64421,              0.7802,             0.76445,             0.40927,            0.051746,            0.012893,                   0,            0.032887,           0.0068872,           0.0068872
                  15,            0.053004,             0.01776,                   0,             0.58087,             0.69106,             0.62092,             0.26566,            0.052853,            0.011934,                   0,            0.028313,           0.0073134,           0.0073134
                  16,            0.047712,            0.014636,                   0,             0.62484,             0.85308,             0.68529,             0.31978,            0.058453,            0.012504,                   0,            0.023735,           0.0077347,           0.0077347
                  17,            0.049603,             0.01572,                   0,             0.68977,              0.7561,             0.78291,             0.38486,            0.051088,            0.012313,                   0,            0.019151,           0.0081511,           0.0081511
                  18,            0.045987,            0.018311,                   0,             0.74513,             0.82927,             0.85907,             0.48272,             0.05472,            0.013235,                   0,            0.014562,           0.0085625,           0.0085625
                  19,            0.047238,            0.017196,                   0,             0.69592,             0.82114,             0.81582,             0.33488,            0.045331,            0.010916,                   0,           0.0099689,           0.0089689,           0.0089689
                  20,            0.043517,            0.016095,                   0,             0.65282,              0.9187,             0.82361,             0.41856,            0.039452,            0.010386,                   0,             0.00901,             0.00901,             0.00901
                  21,            0.041875,            0.014213,                   0,              0.6374,             0.78049,             0.79049,              0.3479,            0.047501,            0.010982,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.039987,            0.015267,                   0,             0.83609,             0.95381,             0.96109,             0.55101,            0.037425,            0.010859,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.036308,            0.012285,                   0,             0.78644,             0.92812,             0.94063,             0.42393,            0.043204,           0.0091229,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.039763,            0.011045,                   0,              0.7856,             0.86992,             0.85517,             0.45268,             0.03612,            0.010303,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.039291,            0.012935,                   0,             0.63627,             0.82489,             0.76253,              0.3907,            0.042152,            0.010125,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.035311,            0.013519,                   0,              0.8049,              0.8374,             0.89775,             0.57279,            0.037002,            0.010231,                   0,           0.0087625,           0.0087625,           0.0087625
