               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10759,            0.040295,             0.04062,           0.0058546,              0.7784,            0.029213,            0.006695,            0.076366,            0.041554,            0.037682,              0.0874,              0.0014,              0.0014
                   1,            0.073504,            0.044775,            0.035588,             0.14423,             0.42232,             0.17962,            0.053485,            0.065495,            0.038519,            0.035064,            0.073886,           0.0028856,           0.0028856
                   2,             0.06587,            0.032597,            0.031495,             0.29638,             0.61094,             0.31863,             0.13653,             0.07047,            0.024091,            0.028238,            0.060356,           0.0043564,           0.0043564
                   3,            0.079597,            0.028627,            0.027831,             0.52925,             0.48684,             0.55537,             0.25029,            0.069419,            0.022537,            0.023652,            0.046812,           0.0058124,           0.0058124
                   4,            0.068805,            0.026694,            0.021633,              0.3301,             0.70872,             0.40167,             0.15885,             0.06666,            0.024097,            0.017676,            0.033253,           0.0072535,           0.0072535
                   5,            0.067465,               0.025,            0.015559,             0.41499,             0.69531,             0.55794,             0.20855,            0.058699,            0.025127,            0.015382,             0.01968,           0.0086797,           0.0086797
                   6,            0.059837,            0.025446,            0.012511,             0.41532,             0.70178,              0.4875,             0.20559,            0.057555,            0.026309,            0.012294,            0.009703,            0.009703,            0.009703
                   7,            0.053395,            0.023234,             0.01036,             0.44905,             0.70317,             0.48618,              0.1596,             0.06832,            0.026937,            0.016214,            0.009703,            0.009703,            0.009703
                   8,            0.050352,             0.02161,           0.0088261,             0.57632,             0.67158,             0.66745,             0.32604,            0.046587,             0.02266,            0.018719,           0.0096535,           0.0096535,           0.0096535
                   9,            0.046036,            0.021661,           0.0066586,             0.72042,             0.88495,             0.85014,             0.43859,             0.04005,            0.021941,             0.01205,            0.009604,            0.009604,            0.009604
                  10,            0.040185,            0.020654,           0.0064199,             0.87889,             0.84676,             0.90585,              0.5149,            0.036701,            0.019533,            0.015513,           0.0095545,           0.0095545,           0.0095545
                  11,             0.04258,            0.021479,            0.005326,             0.78987,             0.87066,             0.86252,             0.41961,            0.038668,            0.018885,           0.0067093,            0.009505,            0.009505,            0.009505
                  12,            0.036693,            0.021386,            0.005306,             0.88378,             0.81227,             0.88238,             0.48293,            0.035019,            0.018551,           0.0076135,           0.0094555,           0.0094555,           0.0094555
                  13,            0.038623,            0.020587,           0.0053858,             0.91178,             0.88877,             0.93474,             0.54634,            0.032213,            0.017841,           0.0071583,            0.009406,            0.009406,            0.009406
                  14,            0.035222,            0.019124,           0.0051975,             0.92557,             0.88078,             0.94554,             0.53141,            0.031527,            0.017889,           0.0061029,           0.0093565,           0.0093565,           0.0093565
                  15,            0.033497,            0.019363,           0.0047946,               0.904,             0.91454,             0.94415,             0.54808,             0.03155,            0.017739,           0.0087429,            0.009307,            0.009307,            0.009307
                  16,            0.036507,            0.019448,           0.0051273,             0.92098,             0.88406,             0.94222,             0.55798,            0.029178,            0.017375,           0.0078492,           0.0092575,           0.0092575,           0.0092575
                  17,            0.032476,             0.01939,           0.0037206,             0.89821,             0.87554,             0.89754,             0.51298,            0.034056,             0.01919,            0.008874,            0.009208,            0.009208,            0.009208
                  18,             0.03562,            0.021546,           0.0038215,             0.93141,             0.92656,             0.96038,             0.56863,            0.029781,            0.017011,           0.0064835,           0.0091585,           0.0091585,           0.0091585
                  19,            0.033138,            0.020051,           0.0039993,             0.91062,             0.91189,             0.95803,             0.56546,            0.029701,             0.01774,           0.0067201,            0.009109,            0.009109,            0.009109
                  20,             0.03328,            0.020266,           0.0037668,             0.93402,             0.88081,             0.93423,             0.49829,            0.035718,            0.018175,             0.00668,           0.0090595,           0.0090595,           0.0090595
                  21,            0.033191,            0.018544,           0.0034347,              0.9243,             0.90179,             0.94564,             0.55465,            0.030939,            0.017637,           0.0086361,             0.00901,             0.00901,             0.00901
                  22,            0.031398,            0.019404,           0.0043391,             0.92578,             0.91114,             0.95565,              0.5811,            0.030172,            0.017394,           0.0061718,           0.0089605,           0.0089605,           0.0089605
                  23,             0.03162,            0.018535,           0.0033372,             0.91769,             0.95451,             0.95916,             0.57158,            0.030401,            0.016627,           0.0061829,            0.008911,            0.008911,            0.008911
                  24,            0.030469,            0.019578,           0.0040512,             0.94746,             0.93608,             0.97166,             0.57505,            0.028574,            0.016916,           0.0054261,           0.0088615,           0.0088615,           0.0088615
                  25,             0.03084,            0.019196,           0.0029097,             0.93433,             0.85068,             0.93123,             0.50454,              0.0352,            0.019495,            0.006875,            0.008812,            0.008812,            0.008812
                  26,            0.030974,            0.018852,            0.002899,             0.92815,             0.89518,             0.93837,             0.53316,            0.033453,            0.017803,            0.010078,           0.0087625,           0.0087625,           0.0087625
                  27,            0.032147,            0.018376,           0.0035853,             0.92824,             0.84608,             0.92275,             0.52561,            0.033699,            0.019454,            0.012014,            0.008713,            0.008713,            0.008713
                  28,            0.030733,            0.018081,             0.00288,             0.89092,             0.87014,             0.91258,             0.52857,            0.033947,            0.018527,            0.011141,           0.0086635,           0.0086635,           0.0086635
                  29,            0.029386,            0.019042,           0.0038847,             0.91608,             0.89639,             0.93745,             0.55876,            0.031505,            0.018489,           0.0083385,            0.008614,            0.008614,            0.008614
                  30,            0.029138,            0.018952,            0.003359,             0.90915,             0.92113,             0.94909,               0.544,            0.031486,             0.01785,           0.0068388,           0.0085645,           0.0085645,           0.0085645
                  31,            0.030004,            0.017989,           0.0027417,             0.91021,             0.92371,             0.94732,             0.56844,            0.030264,            0.017498,           0.0099955,            0.008515,            0.008515,            0.008515
                  32,            0.028666,            0.018135,           0.0030703,             0.93912,             0.89684,              0.9422,             0.55818,            0.030224,            0.017886,           0.0096009,           0.0084655,           0.0084655,           0.0084655
                  33,            0.027239,            0.017321,           0.0035236,             0.91759,             0.91103,             0.95151,             0.56838,            0.029131,            0.017862,           0.0088111,            0.008416,            0.008416,            0.008416
                  34,            0.027112,            0.016971,           0.0025072,             0.92755,              0.8894,             0.92937,             0.52405,            0.031442,             0.01939,            0.011701,           0.0083665,           0.0083665,           0.0083665
                  35,            0.029635,            0.017463,           0.0025708,             0.91064,             0.87867,             0.93423,             0.53815,            0.033024,            0.017882,            0.015938,            0.008317,            0.008317,            0.008317
                  36,            0.027719,            0.017995,           0.0028705,             0.90923,             0.89957,             0.93751,             0.56392,            0.030587,            0.017229,             0.01405,           0.0082675,           0.0082675,           0.0082675
                  37,             0.02778,            0.017278,            0.002729,             0.89622,             0.93605,             0.94328,             0.55414,            0.031776,            0.017815,           0.0096041,            0.008218,            0.008218,            0.008218
                  38,            0.028239,            0.018219,           0.0030117,             0.92627,             0.92332,             0.94889,             0.55309,            0.031153,            0.017997,           0.0085458,           0.0081685,           0.0081685,           0.0081685
                  39,            0.026994,            0.016831,           0.0030007,              0.9044,             0.87873,             0.93251,             0.53691,            0.032772,            0.018086,           0.0068061,            0.008119,            0.008119,            0.008119
                  40,            0.027865,            0.017272,           0.0021371,             0.91297,             0.92532,              0.9518,             0.56784,             0.03003,            0.018539,           0.0057839,           0.0080695,           0.0080695,           0.0080695
                  41,             0.02689,            0.017489,           0.0025189,             0.93182,             0.93326,             0.95772,              0.5575,            0.030144,            0.019004,           0.0072147,             0.00802,             0.00802,             0.00802
                  42,            0.026705,            0.016109,           0.0023156,             0.91639,             0.90183,             0.94466,             0.54909,            0.031561,            0.020003,           0.0064971,           0.0079705,           0.0079705,           0.0079705
                  43,            0.027261,            0.016833,           0.0024252,             0.91569,             0.88615,             0.92397,             0.54028,            0.033285,            0.018419,            0.010659,            0.007921,            0.007921,            0.007921
                  44,            0.027033,            0.017457,            0.002327,              0.8811,             0.90784,             0.93851,             0.55621,            0.031915,             0.01827,            0.012903,           0.0078715,           0.0078715,           0.0078715
                  45,            0.025754,            0.016643,           0.0027225,             0.92975,             0.91402,             0.95442,             0.57655,            0.030618,            0.017797,           0.0057238,            0.007822,            0.007822,            0.007822
                  46,            0.024757,            0.015777,           0.0020617,             0.92077,              0.9288,             0.95333,             0.56005,            0.029201,            0.018704,           0.0070087,           0.0077725,           0.0077725,           0.0077725
                  47,             0.02688,            0.016715,           0.0017764,             0.94374,             0.94312,             0.95633,             0.57694,             0.02933,            0.017681,           0.0062601,            0.007723,            0.007723,            0.007723
                  48,            0.024873,            0.017057,           0.0017639,             0.94313,             0.96211,             0.97307,             0.58501,            0.029338,            0.017477,            0.006473,           0.0076735,           0.0076735,           0.0076735
                  49,            0.023769,            0.016114,            0.002403,             0.93211,             0.91054,             0.95201,             0.56928,            0.030245,            0.019563,           0.0090825,            0.007624,            0.007624,            0.007624
                  50,            0.023556,             0.01666,           0.0019498,             0.91974,             0.94658,             0.96119,             0.59109,            0.029191,            0.018005,           0.0071398,           0.0075745,           0.0075745,           0.0075745
                  51,            0.022874,            0.015903,           0.0020532,             0.91809,             0.93718,             0.96587,             0.59098,            0.029968,            0.017818,           0.0088292,            0.007525,            0.007525,            0.007525
                  52,            0.025022,            0.015954,           0.0018793,             0.89154,              0.9252,             0.93737,             0.53696,            0.033187,             0.01871,           0.0087264,           0.0074755,           0.0074755,           0.0074755
                  53,            0.025925,            0.016553,           0.0023124,             0.92396,             0.94243,             0.95513,             0.57315,            0.029506,            0.017692,            0.007481,            0.007426,            0.007426,            0.007426
                  54,            0.024175,            0.016612,           0.0020806,             0.93749,             0.94155,             0.95421,             0.56933,            0.029901,             0.01828,           0.0061442,           0.0073765,           0.0073765,           0.0073765
                  55,            0.022935,            0.016154,           0.0020164,             0.95204,             0.90772,             0.94824,             0.55683,            0.032119,            0.018279,            0.004212,            0.007327,            0.007327,            0.007327
                  56,            0.023989,            0.015046,            0.002154,             0.93279,             0.95287,             0.96803,             0.57057,            0.030864,            0.018331,           0.0045748,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024485,            0.015669,           0.0021712,             0.91273,             0.93978,              0.9587,             0.57517,            0.030272,            0.018067,           0.0064733,            0.007228,            0.007228,            0.007228
                  58,            0.023523,            0.015813,           0.0020064,             0.92757,             0.94508,             0.96608,             0.57844,            0.030188,            0.018238,           0.0058708,           0.0071785,           0.0071785,           0.0071785
                  59,            0.021774,            0.014979,           0.0015233,             0.95922,             0.91834,             0.96276,             0.59584,            0.029215,            0.018499,           0.0062999,            0.007129,            0.007129,            0.007129
                  60,            0.022266,            0.015076,           0.0018848,             0.94106,             0.92236,             0.96209,             0.57318,            0.029919,             0.01874,           0.0076459,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021858,            0.015427,           0.0019843,             0.93998,             0.93619,             0.96743,             0.57747,            0.029868,            0.018754,           0.0076525,             0.00703,             0.00703,             0.00703
                  62,            0.022607,            0.014967,           0.0020781,              0.9333,             0.93528,             0.96519,             0.57869,            0.029105,            0.018346,           0.0098396,           0.0069805,           0.0069805,           0.0069805
                  63,            0.023417,            0.015607,           0.0016416,             0.93478,             0.93944,             0.96412,             0.57919,             0.03059,            0.017954,           0.0083355,            0.006931,            0.006931,            0.006931
                  64,             0.02306,            0.014905,            0.001858,              0.9301,             0.89016,             0.94044,             0.57421,            0.030528,            0.018532,           0.0066866,           0.0068815,           0.0068815,           0.0068815
                  65,            0.022173,            0.014598,           0.0017882,             0.93273,             0.91799,             0.94528,             0.57376,            0.029309,            0.018487,           0.0078935,            0.006832,            0.006832,            0.006832
                  66,            0.022302,            0.014525,           0.0020285,             0.92086,             0.94738,             0.95626,             0.58006,            0.028719,            0.019133,           0.0056824,           0.0067825,           0.0067825,           0.0067825
                  67,            0.021618,            0.014764,           0.0020867,             0.93493,             0.93498,             0.96178,             0.56711,            0.029425,            0.019073,           0.0066876,            0.006733,            0.006733,            0.006733
                  68,            0.020949,            0.015203,           0.0016358,             0.94001,             0.91735,              0.9535,              0.5738,            0.028632,            0.018929,            0.010392,           0.0066835,           0.0066835,           0.0066835
                  69,            0.021405,            0.015159,           0.0016651,             0.95666,             0.91851,             0.96644,             0.56238,            0.029971,            0.019031,           0.0048723,            0.006634,            0.006634,            0.006634
                  70,            0.020932,            0.014627,           0.0015741,             0.95407,             0.93559,             0.96479,             0.58053,            0.029635,            0.018711,           0.0048795,           0.0065845,           0.0065845,           0.0065845
                  71,            0.020276,            0.014568,           0.0018179,             0.92457,             0.93133,             0.96315,             0.59728,            0.029096,            0.018927,           0.0070467,            0.006535,            0.006535,            0.006535
                  72,            0.021117,            0.014773,             0.00178,             0.94135,             0.94828,              0.9692,             0.58317,            0.029954,            0.019619,            0.005334,           0.0064855,           0.0064855,           0.0064855
                  73,            0.020804,            0.014805,           0.0015801,             0.94113,             0.94041,             0.95442,             0.57823,            0.029183,              0.0192,           0.0049178,            0.006436,            0.006436,            0.006436
                  74,            0.020424,            0.014887,           0.0014694,             0.94009,              0.9481,             0.96087,             0.59406,            0.028694,            0.019183,           0.0046795,           0.0063865,           0.0063865,           0.0063865
                  75,            0.022531,            0.014497,           0.0013314,             0.93692,             0.95122,             0.96204,             0.57573,            0.029852,            0.019431,           0.0049003,            0.006337,            0.006337,            0.006337
                  76,            0.020161,            0.014431,           0.0014746,             0.93977,              0.9442,             0.95683,             0.59442,            0.029475,            0.018942,           0.0045291,           0.0062875,           0.0062875,           0.0062875
                  77,             0.01971,            0.013942,           0.0012899,             0.94629,             0.92635,             0.96063,             0.58639,            0.029434,            0.019314,           0.0050391,            0.006238,            0.006238,            0.006238
                  78,            0.020725,            0.013782,           0.0012325,             0.94062,              0.9603,             0.97568,              0.5909,            0.029382,             0.01886,           0.0042381,           0.0061885,           0.0061885,           0.0061885
                  79,            0.021157,            0.014239,           0.0013152,             0.94689,             0.93666,             0.96404,             0.59967,            0.028884,            0.019184,           0.0058926,            0.006139,            0.006139,            0.006139
                  80,            0.019864,            0.013312,           0.0014099,             0.93314,             0.93774,             0.96833,             0.58814,            0.028914,            0.019314,           0.0057534,           0.0060895,           0.0060895,           0.0060895
                  81,            0.019281,            0.013936,           0.0015009,             0.93247,             0.94381,             0.95457,             0.57163,            0.029605,            0.019927,           0.0048594,             0.00604,             0.00604,             0.00604
                  82,            0.020195,            0.013441,           0.0014751,              0.9372,              0.9298,             0.95178,             0.58436,            0.029154,             0.01935,           0.0069398,           0.0059905,           0.0059905,           0.0059905
                  83,            0.019006,            0.013277,           0.0012187,             0.93716,             0.93543,             0.95639,             0.58098,            0.029073,            0.019233,           0.0052187,            0.005941,            0.005941,            0.005941
                  84,            0.019765,            0.013776,            0.001446,             0.94363,             0.93434,             0.95789,             0.58416,            0.028808,            0.019365,           0.0056892,           0.0058915,           0.0058915,           0.0058915
                  85,            0.018666,            0.013015,            0.001581,             0.93797,              0.9478,             0.96421,             0.59227,            0.028497,            0.019616,            0.004467,            0.005842,            0.005842,            0.005842
                  86,            0.018665,            0.013993,           0.0011371,             0.94641,             0.92782,             0.96245,             0.58332,            0.029189,            0.019492,           0.0063144,           0.0057925,           0.0057925,           0.0057925
                  87,            0.019098,            0.013723,           0.0015904,             0.92554,             0.94734,             0.96156,              0.5884,            0.029765,            0.019499,            0.008627,            0.005743,            0.005743,            0.005743
                  88,            0.018633,            0.012825,           0.0013277,             0.93922,             0.91805,             0.94742,             0.58004,            0.029057,            0.019722,           0.0095902,           0.0056935,           0.0056935,           0.0056935
                  89,            0.019809,            0.014105,           0.0012817,             0.95084,             0.92938,             0.96789,             0.58334,            0.029086,            0.019398,            0.008378,            0.005644,            0.005644,            0.005644
                  90,            0.017872,            0.013275,           0.0015128,             0.93715,             0.92711,             0.95715,             0.58052,            0.030282,            0.020414,            0.005196,           0.0055945,           0.0055945,           0.0055945
                  91,            0.018467,            0.013043,           0.0011084,             0.93299,             0.93056,             0.95564,             0.57522,            0.030993,            0.020242,           0.0076514,            0.005545,            0.005545,            0.005545
                  92,            0.018401,            0.012914,           0.0015218,              0.9167,             0.93365,             0.94921,             0.57064,            0.030488,            0.019782,           0.0066498,           0.0054955,           0.0054955,           0.0054955
                  93,            0.017835,            0.012811,            0.001411,             0.92703,             0.94553,              0.9628,             0.59042,            0.028889,            0.019747,           0.0057463,            0.005446,            0.005446,            0.005446
                  94,            0.017532,            0.012565,           0.0014819,             0.94835,             0.94729,             0.96637,             0.58849,            0.029346,             0.02053,           0.0052001,           0.0053965,           0.0053965,           0.0053965
                  95,            0.018901,            0.013023,           0.0012389,             0.95068,             0.92997,             0.96361,             0.59186,            0.028495,            0.019985,           0.0050449,            0.005347,            0.005347,            0.005347
                  96,            0.018079,            0.012754,           0.0015289,             0.95577,             0.96038,             0.97483,             0.58352,            0.028967,            0.019217,           0.0043973,           0.0052975,           0.0052975,           0.0052975
                  97,            0.018586,            0.012716,           0.0012689,              0.9451,             0.94293,             0.97133,             0.58769,            0.029502,            0.019911,           0.0051302,            0.005248,            0.005248,            0.005248
                  98,            0.018852,            0.013344,           0.0014164,             0.92732,             0.93384,             0.95313,              0.5819,            0.030995,            0.019981,           0.0093196,           0.0051985,           0.0051985,           0.0051985
                  99,            0.018145,            0.013248,           0.0010465,             0.93236,             0.95856,             0.95674,             0.58125,            0.029562,            0.019999,           0.0058212,            0.005149,            0.005149,            0.005149
                 100,            0.017475,            0.013145,           0.0011688,             0.94502,             0.93869,              0.9567,             0.58697,            0.029286,            0.020025,           0.0062829,           0.0050995,           0.0050995,           0.0050995
                 101,             0.01761,            0.013015,           0.0012052,              0.9406,             0.93677,             0.94643,             0.57775,            0.028531,            0.020117,           0.0059869,             0.00505,             0.00505,             0.00505
                 102,            0.017361,            0.012462,          0.00096641,             0.95879,             0.95069,             0.96393,             0.58798,            0.028989,            0.019834,           0.0046256,           0.0050005,           0.0050005,           0.0050005
                 103,            0.017401,             0.01292,           0.0011891,             0.96522,             0.95592,             0.96584,             0.58759,            0.028552,            0.019734,           0.0041786,            0.004951,            0.004951,            0.004951
                 104,              0.0172,            0.011877,           0.0013986,              0.9431,             0.95315,             0.96627,             0.59048,            0.029404,            0.019697,           0.0044178,           0.0049015,           0.0049015,           0.0049015
                 105,            0.016854,            0.012018,            0.001385,             0.94301,             0.95446,             0.96194,             0.59627,            0.028342,            0.020423,           0.0045402,            0.004852,            0.004852,            0.004852
                 106,            0.016623,            0.012179,          0.00097092,             0.93379,              0.9507,             0.95874,             0.58175,            0.028627,            0.020962,           0.0057057,           0.0048025,           0.0048025,           0.0048025
                 107,            0.016016,            0.011542,           0.0010412,             0.94445,             0.95871,              0.9628,             0.59151,            0.028298,            0.020812,           0.0049125,            0.004753,            0.004753,            0.004753
                 108,            0.016878,            0.012581,           0.0011427,              0.9575,             0.95632,             0.96448,             0.59454,            0.028935,            0.020611,           0.0043371,           0.0047035,           0.0047035,           0.0047035
                 109,            0.016973,             0.01238,             0.00124,             0.95375,             0.94244,             0.96022,              0.5892,            0.028853,            0.019986,           0.0045229,            0.004654,            0.004654,            0.004654
                 110,            0.016001,            0.011974,           0.0010811,             0.93648,             0.93456,             0.96535,             0.59652,             0.02865,            0.020329,            0.008301,           0.0046045,           0.0046045,           0.0046045
                 111,            0.016547,            0.012272,           0.0013736,             0.95492,             0.93732,             0.96532,             0.58989,            0.028366,            0.020546,           0.0058739,            0.004555,            0.004555,            0.004555
                 112,            0.016157,            0.011831,           0.0013875,             0.94935,             0.95856,              0.9666,             0.60053,            0.028055,            0.020614,           0.0044317,           0.0045055,           0.0045055,           0.0045055
                 113,            0.015669,            0.012185,           0.0011531,             0.97103,             0.94947,             0.96701,             0.58546,            0.028773,              0.0207,           0.0047088,            0.004456,            0.004456,            0.004456
                 114,            0.015833,            0.011983,           0.0012102,             0.95858,             0.94153,             0.96624,             0.59057,            0.029065,            0.021005,           0.0056397,           0.0044065,           0.0044065,           0.0044065
                 115,            0.015632,            0.011817,          0.00084233,              0.9344,             0.96054,             0.97297,             0.59287,            0.029437,            0.021001,            0.007213,            0.004357,            0.004357,            0.004357
                 116,            0.016591,            0.012816,          0.00097822,             0.94053,             0.93707,             0.96548,             0.58393,            0.030303,            0.021393,           0.0088709,           0.0043075,           0.0043075,           0.0043075
                 117,            0.015707,            0.011975,           0.0011518,             0.92402,             0.95618,             0.96712,             0.59261,            0.029541,            0.021087,           0.0074415,            0.004258,            0.004258,            0.004258
                 118,            0.015408,            0.011369,          0.00081009,             0.93979,             0.93627,             0.97167,             0.59536,            0.029499,            0.021117,           0.0081717,           0.0042085,           0.0042085,           0.0042085
                 119,            0.015172,             0.01125,          0.00082869,             0.94032,             0.94094,             0.96632,             0.58538,            0.030908,            0.021387,           0.0070232,            0.004159,            0.004159,            0.004159
                 120,             0.01665,            0.011618,          0.00087027,             0.95518,             0.94267,             0.96999,             0.59626,            0.028692,            0.020814,           0.0051783,           0.0041095,           0.0041095,           0.0041095
                 121,            0.016119,            0.011763,          0.00090095,             0.94771,             0.94741,             0.97117,              0.5986,            0.029413,            0.020817,           0.0047754,             0.00406,             0.00406,             0.00406
