               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10321,            0.028477,                   0,           0.0029085,             0.87255,            0.019542,           0.0032329,            0.070093,            0.023197,                   0,              0.0973,              0.0003,              0.0003
                   1,            0.086674,            0.027499,                   0,           0.0033007,              0.9902,            0.051709,             0.01369,            0.064373,              0.0223,                   0,            0.093697,          0.00069653,          0.00069653
                   2,             0.10177,            0.027979,                   0,           0.0030719,             0.92157,            0.059935,            0.012552,            0.053615,            0.021496,                   0,            0.090089,           0.0010891,           0.0010891
                   3,            0.071383,            0.028461,                   0,           0.0033333,                   1,            0.069136,            0.019783,            0.040099,            0.020559,                   0,            0.086478,           0.0014777,           0.0014777
                   4,            0.074162,            0.028384,                   0,           0.0032353,             0.97059,            0.075266,            0.023377,            0.049656,            0.017471,                   0,            0.082862,           0.0018624,           0.0018624
                   5,            0.065299,            0.028044,                   0,           0.0032353,             0.97059,             0.30833,            0.095857,            0.049419,             0.01646,                   0,            0.079243,           0.0022431,           0.0022431
                   6,            0.055466,            0.024471,                   0,           0.0033333,                   1,            0.041908,             0.01082,            0.037515,            0.015943,                   0,             0.07562,           0.0026198,           0.0026198
                   7,            0.060457,            0.024755,                   0,           0.0033333,                   1,            0.016969,           0.0058535,            0.039569,            0.016007,                   0,            0.071993,           0.0029926,           0.0029926
                   8,            0.054511,            0.024645,                   0,           0.0033333,                   1,           0.0091036,           0.0025505,            0.036682,            0.015446,                   0,            0.068361,           0.0033614,           0.0033614
                   9,            0.065786,            0.025941,                   0,           0.0033333,                   1,           0.0060967,           0.0022456,            0.039751,            0.016028,                   0,            0.064726,           0.0037263,           0.0037263
                  10,            0.066788,            0.020549,                   0,           0.0024837,              0.7451,            0.002453,          0.00072001,            0.034999,            0.018138,                   0,            0.061087,           0.0040871,           0.0040871
                  11,            0.049482,            0.022274,                   0,           0.0033007,              0.9902,            0.009428,           0.0035177,            0.040955,            0.015585,                   0,            0.057444,           0.0044441,           0.0044441
                  12,            0.053024,            0.025827,                   0,           0.0018627,             0.55882,           0.0019522,          0.00042932,            0.039727,            0.016354,                   0,            0.053797,           0.0047971,           0.0047971
